Name,Breed,Color,Size,Energy Level,Gender,Weight (kg),Age (years)
Toby,Boxer,Gray,Large,Low,Male,32,4
Cooper,Pug,Cream,Medium,Low,Female,24,12
Stella,Poodle,Black,Large,Medium,Female,19,14
Chloe,Doberman,Black,Small,High,Male,36,14
Lucy,Chihuahua,White,Small,Medium,Female,34,9
Maggie,Siberian Husky,Spotted,Medium,High,Female,32,4
Sadie,Labrador Retriever,Black,Large,Medium,Male,27,15
Bella,Poodle,Black,Small,Low,Male,40,9
Jack,Bulldog,Gray,Small,Low,Male,14,4
Milo,Poodle,Gray,Large,High,Male,48,3
Max,French Bulldog,Brown,Small,Low,Female,24,10
Stella,Bulldog,Golden,Large,Low,Male,31,1
Stella,Golden Retriever,White,Medium,Medium,Male,5,3
Daisy,Golden Retriever,Cream,Small,Low,Female,47,8
Cooper,Great Dane,Cream,Medium,Medium,Male,32,2
Luna,Border Collie,Brindle,Large,High,Male,25,7
Max,Beagle,Spotted,Large,High,Female,5,6
Toby,Pug,Brindle,Large,Low,Female,6,2
Cooper,Siberian Husky,Black,Medium,Medium,Male,45,3
Lucy,Boxer,Cream,Large,Medium,Male,10,8
Sophie,Pug,White,Small,Low,Female,14,10
Stella,Shih Tzu,White,Large,Low,Female,48,2
Toby,German Shepherd,Brindle,Small,Low,Female,26,13
Chloe,Great Dane,Black,Large,Medium,Female,21,8
Daisy,Dachshund,Gray,Small,High,Male,12,11
Leo,Corgi,Black,Medium,Medium,Female,34,7
Leo,Yorkshire Terrier,Spotted,Large,Medium,Male,35,6
Chloe,German Shepherd,Gray,Small,Medium,Female,48,5
Charlie,Doberman,Golden,Large,Low,Male,12,10
Charlie,Boxer,Brindle,Medium,High,Male,6,3
Jack,Chihuahua,Golden,Medium,Low,Female,15,14
Max,Dachshund,Golden,Medium,Low,Male,14,10
Luna,Poodle,Gray,Small,High,Female,19,8
Toby,French Bulldog,Brown,Large,Low,Male,19,7
Bella,Siberian Husky,Brown,Small,Medium,Male,19,9
Daisy,Yorkshire Terrier,White,Small,Medium,Female,31,7
Toby,Siberian Husky,Black,Large,High,Female,35,7
Chloe,Boxer,Gray,Large,Low,Female,47,13
Chloe,Poodle,Spotted,Medium,Low,Male,50,10
Max,Poodle,Golden,Medium,High,Male,19,11
Sophie,Australian Shepherd,Golden,Small,Low,Male,33,1
Chloe,Great Dane,Cream,Medium,High,Female,26,15
Chloe,Siberian Husky,Gray,Large,High,Female,6,11
Lucy,Shih Tzu,Golden,Small,Low,Female,9,11
Cooper,Beagle,Brindle,Medium,Medium,Female,13,3
Bella,Boxer,Black,Large,Low,Male,15,1
Stella,Golden Retriever,Brindle,Small,High,Male,23,13
Oliver,Border Collie,Brown,Large,Low,Female,43,3
Cooper,Doberman,Gray,Small,High,Female,48,13
Cooper,Boxer,Cream,Medium,Medium,Male,17,13
Chloe,Border Collie,Brindle,Small,High,Male,29,11
Sadie,Boxer,White,Large,High,Female,37,3
Sophie,Bulldog,Golden,Large,Low,Female,29,2
Bella,French Bulldog,Gray,Medium,Low,Female,33,9
Sadie,Bulldog,Cream,Large,Low,Male,32,10
Stella,Corgi,Brown,Small,Medium,Female,12,12
Jack,Australian Shepherd,Brown,Medium,Low,Male,5,11
Max,Bulldog,Golden,Small,Medium,Female,36,12
Toby,Bulldog,Golden,Small,Medium,Female,46,11
Max,Labrador Retriever,Golden,Medium,Low,Female,30,9
Chloe,Great Dane,Black,Small,Low,Male,37,14
Milo,Boxer,Golden,Large,Low,Male,18,4
Rocky,Yorkshire Terrier,Spotted,Large,Low,Female,46,8
Sophie,Labrador Retriever,Brown,Medium,Medium,Male,27,2
Sophie,Australian Shepherd,Gray,Medium,High,Female,33,5
Rocky,Chihuahua,Brindle,Medium,Medium,Female,50,11
Milo,Yorkshire Terrier,Brown,Medium,Medium,Female,45,6
Chloe,Dachshund,Spotted,Small,Low,Female,34,9
Lucy,Rottweiler,Golden,Large,Medium,Male,50,9
Lucy,Great Dane,Gray,Small,Medium,Female,18,1
Toby,Siberian Husky,Brown,Large,High,Female,34,12
Lucy,Yorkshire Terrier,Spotted,Large,High,Female,34,7
Toby,Australian Shepherd,Spotted,Large,Low,Male,27,9
Charlie,Beagle,Gray,Small,High,Male,32,13
Milo,Rottweiler,White,Large,High,Male,50,3
Rocky,French Bulldog,Golden,Large,Low,Male,44,14
Luna,Border Collie,Gray,Small,High,Female,27,1
Bailey,French Bulldog,Cream,Large,Low,Female,30,2
Sadie,Rottweiler,Gray,Small,Medium,Female,24,11
Cooper,Doberman,Spotted,Small,Medium,Female,44,8
Charlie,Siberian Husky,Golden,Medium,Medium,Male,25,7
Bailey,Boxer,Black,Small,Medium,Male,22,13
Sophie,Corgi,White,Small,High,Male,28,1
Rocky,Rottweiler,Golden,Small,Low,Female,6,10
Charlie,German Shepherd,Brindle,Small,High,Male,41,13
Sophie,French Bulldog,Spotted,Large,Low,Female,22,1
Lucy,Labrador Retriever,Brown,Small,Low,Male,14,1
Chloe,Corgi,Brown,Medium,Medium,Male,22,4
Toby,Siberian Husky,Brown,Medium,Low,Female,20,2
Charlie,Boxer,White,Small,Medium,Female,47,10
Chloe,Australian Shepherd,Black,Small,High,Male,36,3
Stella,German Shepherd,Cream,Large,High,Male,42,10
Bella,Yorkshire Terrier,Brindle,Small,Medium,Male,30,14
Toby,German Shepherd,White,Small,High,Male,40,6
Toby,Chihuahua,Black,Small,Low,Female,41,10
Milo,Bulldog,Spotted,Small,Medium,Male,20,15
Cooper,Australian Shepherd,Gray,Small,High,Male,24,7
Lucy,Boxer,Brown,Medium,Low,Male,13,8
Maggie,Border Collie,Black,Large,High,Female,20,12
Sadie,Dachshund,Spotted,Large,Low,Male,15,1
Charlie,Great Dane,Brindle,Medium,Medium,Male,12,1
Bella,Golden Retriever,Brindle,Small,Medium,Female,26,10
Chloe,Dachshund,Brindle,Medium,High,Male,50,15
Leo,Border Collie,Spotted,Medium,High,Male,32,14
Lucy,Rottweiler,Brown,Large,High,Male,17,12
Rocky,Boxer,Brown,Small,Medium,Female,48,10
Oliver,Boxer,White,Medium,Medium,Male,30,15
Lucy,German Shepherd,Brindle,Large,Medium,Male,15,2
Charlie,Doberman,White,Small,Low,Male,40,15
Sadie,Rottweiler,Golden,Large,Medium,Female,12,13
Charlie,German Shepherd,Cream,Large,High,Male,29,13
Cooper,Border Collie,Golden,Large,High,Male,31,7
Daisy,Rottweiler,Cream,Medium,High,Female,20,8
Jack,Yorkshire Terrier,Cream,Large,Low,Female,40,12
Bailey,Doberman,Gray,Medium,High,Male,41,2
Chloe,Poodle,Brindle,Small,Medium,Female,6,3
Bella,Pug,Spotted,Medium,High,Male,21,14
Chloe,Rottweiler,White,Medium,Low,Female,5,1
Jack,Doberman,Cream,Small,Medium,Female,5,1
Stella,Pug,Gray,Large,High,Female,17,5
Chloe,Chihuahua,Black,Large,Medium,Female,19,8
Oliver,Siberian Husky,Cream,Large,Medium,Female,42,15
Toby,Poodle,Brindle,Large,High,Female,14,4
Charlie,Dachshund,Black,Large,Medium,Male,28,1
Luna,Pug,Cream,Small,Low,Male,35,12
Sadie,Bulldog,Spotted,Medium,High,Male,12,4
Rocky,Shih Tzu,Brindle,Small,High,Male,31,14
Chloe,Australian Shepherd,Golden,Large,High,Female,50,10
Sophie,Chihuahua,Golden,Large,Medium,Male,38,6
Milo,Bulldog,Black,Medium,High,Female,22,7
Cooper,Chihuahua,Spotted,Medium,Medium,Female,34,12
Milo,Chihuahua,Brindle,Medium,Medium,Female,32,14
Charlie,Bulldog,White,Large,Low,Female,22,9
Sadie,Australian Shepherd,Golden,Large,Low,Female,35,12
Charlie,Poodle,Cream,Medium,Low,Female,47,3
Milo,Beagle,Cream,Medium,Low,Male,26,3
Bailey,Pug,Brindle,Medium,High,Female,40,10
Max,Shih Tzu,Cream,Small,Low,Male,13,9
Toby,Poodle,Spotted,Large,High,Male,33,15
Jack,Great Dane,Golden,Medium,High,Female,24,14
Lucy,Pug,Black,Large,Low,Female,11,13
Cooper,Corgi,Spotted,Small,Low,Female,39,12
Milo,Boxer,Black,Large,Low,Female,30,11
Chloe,Corgi,Brindle,Medium,High,Female,21,5
Buddy,Siberian Husky,Spotted,Medium,Medium,Male,48,12
Cooper,French Bulldog,Cream,Small,Low,Female,5,12
Buddy,Pug,Golden,Small,Medium,Male,15,14
Max,Beagle,White,Medium,Low,Male,19,11
Toby,Bulldog,Spotted,Medium,High,Male,34,4
Bailey,Siberian Husky,Gray,Large,High,Female,49,12
Cooper,Shih Tzu,Golden,Small,Medium,Male,26,13
Buddy,Doberman,Black,Medium,Medium,Female,30,10
Luna,Labrador Retriever,Brown,Large,High,Male,31,8
Lucy,German Shepherd,Gray,Medium,Medium,Male,29,12
Max,Chihuahua,Spotted,Large,High,Male,22,10
Buddy,Doberman,Brindle,Medium,Low,Female,48,2
Chloe,Poodle,Gray,Large,Low,Female,50,10
Max,Dachshund,Cream,Small,Low,Male,7,11
Sadie,Bulldog,Gray,Large,High,Male,36,12
Buddy,Rottweiler,Black,Small,Medium,Male,20,14
Sadie,Great Dane,Gray,Large,Medium,Female,10,4
Rocky,French Bulldog,Golden,Small,High,Male,35,15
Chloe,Beagle,Spotted,Medium,High,Female,40,11
Cooper,Pug,Golden,Large,Low,Female,26,13
Lucy,Shih Tzu,Cream,Large,Medium,Female,17,1
Daisy,Border Collie,Spotted,Medium,Medium,Female,8,12
Cooper,Great Dane,Black,Medium,Low,Female,42,2
Max,Border Collie,Black,Small,Medium,Female,14,15
Bella,Bulldog,Gray,Medium,High,Male,9,7
Charlie,Yorkshire Terrier,White,Medium,Low,Female,34,1
Rocky,Shih Tzu,Spotted,Small,Medium,Female,38,2
Buddy,Beagle,White,Small,High,Male,29,15
Maggie,Beagle,Spotted,Large,Low,Male,25,2
Luna,Golden Retriever,White,Medium,Low,Female,22,2
Bailey,Chihuahua,Black,Small,Low,Female,24,6
Daisy,Shih Tzu,Black,Small,Low,Male,45,8
Charlie,Great Dane,Brown,Small,High,Male,17,8
Leo,Poodle,Cream,Large,Medium,Female,39,14
Chloe,Poodle,Cream,Medium,Low,Female,18,6
Leo,Beagle,Brown,Large,High,Male,11,15
Rocky,Pug,Black,Medium,High,Female,32,1
Leo,Dachshund,Gray,Medium,Medium,Male,22,9
Buddy,Bulldog,Black,Small,High,Male,29,13
Leo,Siberian Husky,Brindle,Small,Medium,Male,17,2
Sophie,Corgi,Spotted,Large,Medium,Female,32,13
Lucy,Australian Shepherd,Brown,Large,High,Male,39,12
Oliver,Great Dane,Brown,Medium,Low,Female,49,13
Chloe,Great Dane,Cream,Small,High,Male,9,5
Bailey,Shih Tzu,White,Small,Low,Male,29,14
Max,Border Collie,Cream,Medium,Medium,Female,14,13
Maggie,Beagle,Golden,Medium,High,Female,43,14
Jack,German Shepherd,Brindle,Small,Low,Female,6,12
Stella,Pug,Gray,Large,Medium,Female,32,15
Charlie,Boxer,Golden,Large,High,Male,9,7
Daisy,Bulldog,Gray,Large,Medium,Male,34,1
Charlie,Rottweiler,Brown,Large,High,Female,34,3
Stella,Chihuahua,White,Small,Low,Male,15,5
Max,Golden Retriever,White,Large,Medium,Female,34,11
Lucy,Labrador Retriever,White,Large,High,Male,40,12
Toby,Corgi,Golden,Large,Medium,Male,49,15
Max,Beagle,Spotted,Large,Low,Male,22,7
Bella,Dachshund,Brindle,Small,High,Male,39,10
Charlie,German Shepherd,White,Small,High,Female,49,3
Toby,Doberman,Cream,Large,Low,Male,8,2
Bailey,Great Dane,Golden,Medium,Low,Female,32,3
Sadie,Bulldog,White,Medium,Low,Male,9,4
Leo,Australian Shepherd,Spotted,Large,Medium,Female,46,15
Oliver,Corgi,Golden,Large,Medium,Male,15,2
Lucy,Beagle,Spotted,Large,Low,Male,46,10
Charlie,Poodle,Golden,Small,High,Male,12,4
Toby,Doberman,Black,Small,High,Male,17,4
Bella,Boxer,Spotted,Large,Low,Male,23,8
Lucy,Great Dane,White,Medium,High,Female,32,6
Bailey,German Shepherd,Gray,Large,Low,Male,41,12
Max,Doberman,Black,Large,Low,Male,15,9
Luna,Pug,Gray,Small,Low,Male,18,3
Chloe,French Bulldog,Gray,Medium,Medium,Female,17,3
Maggie,Golden Retriever,Brindle,Small,Low,Male,40,6
Luna,Labrador Retriever,Gray,Large,Medium,Male,7,3
Buddy,Siberian Husky,Brindle,Small,Low,Male,38,6
Cooper,Boxer,White,Small,High,Male,33,4
Leo,Poodle,White,Large,Low,Male,12,8
Max,Poodle,Golden,Large,Medium,Male,8,15
Maggie,Bulldog,Brindle,Large,Low,Female,22,3
Buddy,Border Collie,Spotted,Small,Medium,Male,22,2
Stella,Rottweiler,White,Small,Low,Male,42,13
Bella,Doberman,Brindle,Medium,High,Female,19,11
Cooper,Doberman,Spotted,Large,Medium,Female,42,12
Oliver,Great Dane,Gray,Large,High,Female,33,10
Oliver,Chihuahua,Golden,Large,High,Female,12,11
Bella,Doberman,Golden,Medium,Low,Female,27,3
Toby,Labrador Retriever,White,Small,Medium,Male,25,3
Bailey,Chihuahua,Golden,Large,High,Male,39,8
Maggie,Poodle,Brindle,Small,High,Female,12,6
Rocky,Great Dane,Cream,Large,Low,Female,25,3
Cooper,Australian Shepherd,Gray,Large,Medium,Female,15,12
Luna,Great Dane,Golden,Small,Medium,Female,47,15
Luna,Golden Retriever,Brown,Small,Medium,Male,37,1
Buddy,Great Dane,Brown,Large,High,Male,28,10
Jack,Bulldog,Brown,Medium,Medium,Male,41,12
Bella,Poodle,Brown,Medium,Medium,Female,48,15
Jack,Corgi,Brindle,Small,High,Female,27,5
Milo,Doberman,White,Small,Medium,Female,36,10
Daisy,Labrador Retriever,Spotted,Small,Medium,Female,18,6
Buddy,Bulldog,Brindle,Small,Low,Male,17,11
Leo,Beagle,Brindle,Large,High,Male,29,4
Sadie,Doberman,Black,Large,Low,Female,44,2
Rocky,Doberman,Gray,Medium,Medium,Male,11,11
Chloe,Beagle,Spotted,Large,Medium,Male,28,11
Leo,Border Collie,White,Small,Low,Female,49,2
Sophie,Poodle,Black,Small,Low,Female,13,11
Max,Shih Tzu,Spotted,Medium,High,Female,9,8
Lucy,Siberian Husky,Brindle,Medium,Medium,Male,6,5
Cooper,Border Collie,Brown,Small,Low,Male,33,4
Jack,German Shepherd,Cream,Large,Medium,Female,23,9
Stella,Corgi,Spotted,Small,Medium,Male,27,10
Rocky,Yorkshire Terrier,Brown,Large,High,Female,14,8
Oliver,Labrador Retriever,Brindle,Large,Low,Male,32,1
Rocky,Yorkshire Terrier,Cream,Large,Medium,Male,41,3
Luna,Border Collie,Black,Medium,High,Male,12,11
Maggie,Bulldog,Brindle,Large,Low,Female,12,4
Oliver,Corgi,White,Large,Medium,Male,42,3
Daisy,Dachshund,Cream,Large,Low,Female,43,9
Daisy,Poodle,Golden,Large,Medium,Male,32,13
Chloe,Bulldog,Black,Small,Medium,Female,47,6
Sophie,Corgi,Brown,Large,High,Female,25,4
Buddy,Shih Tzu,Cream,Medium,High,Female,45,11
Cooper,Shih Tzu,Brindle,Large,Medium,Male,36,6
Sadie,Chihuahua,Gray,Large,Low,Male,31,1
Bailey,French Bulldog,Spotted,Medium,Low,Male,25,13
Daisy,French Bulldog,Spotted,Medium,Medium,Male,36,7
Buddy,Border Collie,Golden,Small,High,Male,49,12
Sadie,Chihuahua,Gray,Large,High,Female,27,13
Oliver,Chihuahua,White,Large,High,Male,12,2
Daisy,Pug,Black,Large,Medium,Male,49,4
Maggie,Boxer,White,Small,Medium,Female,26,2
Bella,Siberian Husky,Black,Large,Low,Male,45,1
Charlie,Great Dane,Spotted,Small,High,Female,39,13
Charlie,Shih Tzu,White,Large,Medium,Male,5,9
Milo,Rottweiler,Spotted,Large,Medium,Female,26,8
Oliver,Beagle,White,Medium,Medium,Male,19,8
Jack,Doberman,Black,Small,High,Female,35,12
Lucy,Pug,Golden,Large,Low,Female,35,3
Daisy,German Shepherd,Golden,Large,High,Male,39,6
Luna,German Shepherd,Gray,Medium,Medium,Female,12,10
Bailey,Corgi,Gray,Medium,Medium,Male,36,7
Oliver,Pug,Brown,Small,High,Female,47,6
Luna,Doberman,Black,Large,Low,Female,33,6
Bailey,Chihuahua,White,Large,Medium,Female,21,15
Chloe,French Bulldog,Spotted,Small,Medium,Female,30,14
Oliver,Border Collie,Black,Medium,High,Female,37,15
Bailey,Boxer,Brown,Small,Medium,Female,43,1
Lucy,Doberman,Cream,Large,High,Female,46,6
Sophie,Beagle,Spotted,Small,Medium,Male,29,13
Daisy,Rottweiler,Black,Small,High,Female,23,2
Sophie,Border Collie,Golden,Large,Medium,Male,43,6
Oliver,Yorkshire Terrier,Gray,Large,High,Female,5,13
Buddy,Doberman,Gray,Medium,Medium,Male,10,14
Charlie,Shih Tzu,Golden,Small,Low,Male,6,11
Cooper,Yorkshire Terrier,Golden,Medium,Low,Male,33,3
Chloe,German Shepherd,Brown,Small,Low,Male,44,9
Sadie,Bulldog,White,Small,Medium,Female,40,15
Sophie,Shih Tzu,Brown,Large,Low,Female,41,15
Leo,Dachshund,Brindle,Medium,Medium,Male,41,9
Bailey,Corgi,White,Small,High,Male,8,8
Bella,Border Collie,Black,Medium,Low,Female,31,7
Bailey,Labrador Retriever,Spotted,Small,Low,Female,44,14
Bailey,Bulldog,Black,Small,Low,Male,11,11
Jack,Australian Shepherd,Spotted,Medium,Medium,Male,38,9
Maggie,Yorkshire Terrier,Spotted,Small,Low,Female,35,5
Max,Great Dane,Cream,Medium,Medium,Male,45,9
Milo,Pug,Brown,Large,High,Male,31,10
Stella,Australian Shepherd,Spotted,Small,Medium,Male,39,4
Buddy,French Bulldog,Brown,Small,Medium,Male,22,15
Chloe,Rottweiler,Brown,Medium,Medium,Male,50,7
Leo,Bulldog,Brindle,Medium,High,Male,43,10
Milo,Great Dane,Brindle,Medium,High,Female,45,3
Oliver,Border Collie,White,Medium,High,Male,25,10
Buddy,Australian Shepherd,Brown,Small,Medium,Female,44,12
Oliver,Bulldog,Cream,Large,High,Female,31,6
Leo,Pug,Gray,Large,High,Male,44,10
Buddy,Beagle,Spotted,Medium,Medium,Female,47,8
Luna,Golden Retriever,White,Large,Low,Female,19,11
Daisy,Rottweiler,Cream,Small,Low,Female,34,15
Jack,Poodle,Brindle,Small,High,Male,12,14
Leo,Bulldog,Gray,Large,Medium,Female,37,3
Stella,German Shepherd,Cream,Small,Low,Female,45,9
Bella,French Bulldog,Spotted,Medium,Medium,Female,30,2
Oliver,Doberman,Brindle,Medium,Medium,Female,39,2
Milo,Boxer,Brindle,Medium,High,Male,32,10
Bella,Shih Tzu,Golden,Large,High,Female,8,7
Chloe,Border Collie,Brindle,Small,High,Male,22,1
Toby,Corgi,Cream,Medium,Low,Female,17,1
Milo,Chihuahua,Gray,Small,High,Female,34,2
Bailey,Poodle,White,Small,High,Male,39,12
Charlie,Shih Tzu,White,Small,High,Male,21,14
Charlie,Golden Retriever,Brown,Medium,Medium,Female,21,1
Leo,Chihuahua,Brindle,Small,Low,Male,23,12
Maggie,Australian Shepherd,White,Medium,High,Male,10,8
Lucy,Labrador Retriever,Cream,Small,Medium,Male,32,1
Maggie,Chihuahua,Black,Large,High,Male,7,12
Buddy,Rottweiler,Black,Small,Medium,Male,5,6
Chloe,Dachshund,White,Small,Medium,Male,22,15
Oliver,Bulldog,Brindle,Small,Low,Male,29,12
Luna,Bulldog,Brown,Large,High,Female,35,8
Sophie,Yorkshire Terrier,Brown,Small,Low,Female,40,11
Oliver,German Shepherd,Spotted,Small,High,Female,45,9
Toby,Siberian Husky,White,Small,High,Male,34,15
Cooper,Great Dane,Gray,Small,High,Female,41,9
Cooper,Corgi,Brown,Medium,High,Female,5,14
Rocky,French Bulldog,Spotted,Large,Low,Female,47,9
Rocky,Poodle,White,Small,High,Female,44,7
Charlie,Labrador Retriever,Brown,Small,Medium,Male,37,5
Milo,Yorkshire Terrier,Golden,Medium,Medium,Male,38,7
Maggie,Chihuahua,Cream,Large,Medium,Female,24,14
Sadie,Border Collie,Brown,Small,High,Female,27,7
Chloe,German Shepherd,Brindle,Large,Low,Male,24,11
Leo,Rottweiler,Golden,Large,Medium,Male,17,3
Toby,Siberian Husky,Black,Small,Low,Male,7,9
Rocky,Bulldog,White,Small,Low,Female,10,7
Daisy,Bulldog,Brindle,Small,High,Female,25,9
Sadie,Boxer,Cream,Medium,Low,Female,47,13
Bella,Yorkshire Terrier,Spotted,Large,High,Male,49,11
Lucy,Yorkshire Terrier,Golden,Large,High,Male,15,1
Daisy,Boxer,Gray,Large,High,Female,13,5
Stella,Yorkshire Terrier,Brown,Large,High,Male,27,13
Rocky,Siberian Husky,Brown,Medium,Low,Male,48,15
Sadie,Border Collie,Brindle,Small,Medium,Male,23,14
Toby,Australian Shepherd,Brindle,Large,Low,Male,39,2
Bella,Rottweiler,Brindle,Small,Medium,Female,8,5
Rocky,Chihuahua,Black,Small,Low,Female,25,6
Leo,Rottweiler,Brown,Small,Low,Male,31,15
Oliver,Shih Tzu,Brown,Large,Low,Male,27,14
Maggie,Border Collie,Brown,Small,Low,Male,8,3
Maggie,Golden Retriever,Spotted,Medium,High,Male,26,12
Lucy,Great Dane,White,Large,Medium,Male,42,5
Chloe,German Shepherd,White,Medium,Medium,Male,24,7
Leo,Yorkshire Terrier,Gray,Small,Medium,Male,23,1
Daisy,Pug,Black,Medium,Low,Male,32,14
Oliver,Shih Tzu,Spotted,Medium,Medium,Female,9,6
Stella,Rottweiler,White,Medium,High,Male,35,8
Max,Labrador Retriever,Cream,Medium,Medium,Male,24,11
Luna,Australian Shepherd,Gray,Large,Medium,Male,19,4
Milo,French Bulldog,Brindle,Small,High,Male,19,15
Cooper,Chihuahua,Spotted,Small,Low,Female,35,10
Bailey,Yorkshire Terrier,White,Small,High,Female,11,13
Sophie,Chihuahua,Cream,Small,Low,Female,17,7
Sadie,French Bulldog,Black,Large,Medium,Male,39,2
Milo,Rottweiler,Black,Small,Medium,Male,29,14
Luna,Poodle,White,Large,Medium,Female,50,6
Sadie,Yorkshire Terrier,Black,Medium,Medium,Male,31,8
Bailey,Beagle,Golden,Medium,Low,Female,21,13
Max,Border Collie,Brindle,Large,Low,Female,32,4
Luna,Boxer,Black,Large,Low,Female,46,6
Luna,Doberman,Gray,Medium,Medium,Female,11,6
Buddy,Great Dane,Golden,Large,Medium,Male,5,9
Charlie,Poodle,Spotted,Medium,Medium,Male,19,9
Chloe,Rottweiler,Black,Large,Low,Male,34,2
Rocky,Boxer,Cream,Small,High,Male,15,13
Charlie,Shih Tzu,Brown,Large,Medium,Female,25,11
Stella,Doberman,Golden,Medium,Low,Male,7,8
Luna,Labrador Retriever,Spotted,Medium,High,Female,31,7
Milo,Shih Tzu,Spotted,Large,Low,Female,7,7
