Name,Breed,Color,Size,Energy Level,Gender,Weight (kg),Age (years)
Max,Dachshund,Spotted,Medium,High,Male,5,1
Milo,Pug,Cream,Medium,High,Female,30,4
Rocky,Shih Tzu,Golden,Large,Low,Female,46,2
Lucy,Beagle,White,Small,Medium,Male,17,12
Luna,Beagle,Black,Large,Low,Female,13,5
Daisy,Great Dane,Cream,Small,High,Female,24,4
Daisy,Border Collie,Brown,Large,Medium,Female,42,6
Chloe,Shih Tzu,Brown,Medium,High,Female,19,9
Sadie,Yorkshire Terrier,Black,Small,Medium,Male,26,9
Toby,Poodle,Gray,Large,Medium,Male,13,4
Stella,Poodle,Golden,Medium,Medium,Female,6,9
Sadie,Yorkshire Terrier,Golden,Medium,Medium,Female,31,10
Lucy,Shih Tzu,Gray,Small,High,Female,18,14
Stella,Shih Tzu,Gray,Small,High,Female,23,2
Charlie,Boxer,Black,Medium,Medium,Male,29,6
Max,Chihuahua,Cream,Medium,High,Female,40,9
Milo,Great Dane,Spotted,Medium,Medium,Female,27,5
Chloe,Border Collie,White,Large,Medium,Male,32,13
Sophie,Great Dane,Spotted,Small,Low,Male,17,11
Max,Pug,Cream,Large,Medium,Male,18,12
Stella,Labrador Retriever,Golden,Small,High,Female,18,3
Lucy,Border Collie,Brindle,Medium,Medium,Female,23,1
Jack,Bulldog,Cream,Small,Low,Male,50,4
Luna,German Shepherd,White,Large,High,Male,20,6
Cooper,Poodle,Black,Large,Low,Female,24,3
Chloe,French Bulldog,Brown,Large,Low,Male,33,12
Maggie,Shih Tzu,White,Medium,Medium,Female,5,15
Lucy,German Shepherd,Cream,Small,Medium,Female,44,11
Jack,Siberian Husky,Gray,Large,High,Male,5,6
Chloe,Dachshund,Golden,Medium,High,Male,45,6
Bella,Boxer,Golden,Medium,Low,Female,9,7
Cooper,Doberman,Brindle,Large,Medium,Male,44,3
Chloe,Poodle,Black,Large,Medium,Male,40,11
Cooper,Great Dane,Brindle,Large,Medium,Female,10,15
Bailey,Australian Shepherd,Golden,Small,Low,Male,38,1
Lucy,Boxer,Gray,Small,Low,Male,35,6
Cooper,Chihuahua,Brown,Small,Medium,Male,17,6
Daisy,Dachshund,Spotted,Medium,Medium,Female,18,3
Leo,Yorkshire Terrier,White,Small,Low,Male,48,13
Stella,Poodle,Black,Small,Medium,Female,25,1
Chloe,Boxer,Black,Small,High,Female,48,4
Leo,Boxer,Golden,Large,High,Male,38,13
Luna,Poodle,White,Small,High,Male,12,8
Charlie,Labrador Retriever,White,Large,High,Male,13,1
Toby,Poodle,Golden,Small,High,Female,49,5
Maggie,Golden Retriever,Brown,Large,Low,Male,37,11
Milo,Great Dane,Gray,Large,Low,Male,14,8
Toby,Australian Shepherd,Brown,Medium,High,Female,43,13
Max,Rottweiler,Spotted,Small,Medium,Female,18,2
Buddy,Australian Shepherd,Golden,Large,Medium,Female,21,6
Oliver,Yorkshire Terrier,Brown,Medium,Medium,Male,7,7
Cooper,Poodle,Gray,Large,Low,Female,7,1
Chloe,Boxer,Brown,Large,Low,Female,46,11
Daisy,Rottweiler,White,Large,Medium,Female,10,13
Rocky,Rottweiler,Gray,Medium,Medium,Female,42,13
Maggie,Golden Retriever,Spotted,Large,Medium,Male,10,5
Charlie,Golden Retriever,White,Large,High,Male,42,10
Rocky,Pug,Brindle,Small,Medium,Female,44,1
Chloe,Siberian Husky,Brown,Medium,Medium,Male,36,5
Sadie,Pug,Brindle,Small,High,Male,5,4
Luna,Australian Shepherd,Gray,Large,Medium,Male,45,4
Bella,Golden Retriever,Brindle,Large,High,Female,49,12
Jack,Bulldog,Brindle,Large,Medium,Female,43,3
Lucy,Pug,Gray,Medium,Low,Female,37,6
Jack,Rottweiler,White,Medium,Medium,Male,19,10
Bella,Bulldog,Black,Small,Medium,Male,48,11
Luna,Labrador Retriever,Spotted,Large,Medium,Female,11,12
Stella,Yorkshire Terrier,Black,Large,Low,Male,10,1
Lucy,Siberian Husky,Brindle,Medium,Medium,Female,34,6
Chloe,French Bulldog,Black,Large,Medium,Male,43,14
Lucy,Border Collie,Cream,Small,Medium,Male,12,9
Milo,Pug,Golden,Medium,High,Male,37,5
Daisy,Australian Shepherd,Golden,Medium,Low,Female,20,6
Daisy,French Bulldog,Spotted,Medium,Low,Male,25,3
Oliver,German Shepherd,Brown,Small,Medium,Female,27,15
Sophie,Corgi,Brindle,Medium,Medium,Female,48,11
Lucy,Dachshund,White,Large,Medium,Male,46,2
Bailey,Pug,White,Small,High,Female,15,13
Rocky,French Bulldog,Brown,Small,High,Male,38,14
Stella,Australian Shepherd,Black,Medium,Low,Female,31,15
Leo,Shih Tzu,Golden,Large,Medium,Male,35,14
Lucy,Labrador Retriever,Brown,Large,Medium,Male,50,10
Luna,Shih Tzu,Golden,Small,Medium,Female,19,15
Stella,Shih Tzu,White,Small,Low,Female,16,6
Rocky,Boxer,Black,Medium,Low,Male,47,6
Bailey,Doberman,Brown,Small,High,Male,37,6
Lucy,Rottweiler,Brindle,Small,High,Male,46,12
Stella,German Shepherd,Brindle,Large,Medium,Male,42,6
Charlie,Golden Retriever,Black,Small,High,Female,29,11
Rocky,Dachshund,Gray,Medium,Low,Male,37,11
Sophie,German Shepherd,Spotted,Large,Low,Female,36,15
Jack,Beagle,Spotted,Medium,Medium,Female,36,12
Toby,Boxer,Golden,Medium,Low,Female,14,8
Sadie,Dachshund,Cream,Medium,Low,Male,19,3
Bella,French Bulldog,Cream,Small,Medium,Male,43,1
Daisy,German Shepherd,White,Medium,Low,Male,22,3
Daisy,Golden Retriever,Golden,Medium,High,Female,49,11
Buddy,Pug,White,Large,Low,Female,40,10
Jack,Labrador Retriever,Brown,Small,Low,Female,15,8
Maggie,Labrador Retriever,Golden,Small,Low,Female,34,9
Bailey,Rottweiler,Cream,Medium,Medium,Male,45,12
Bella,Great Dane,White,Medium,High,Female,8,10
Maggie,Poodle,Spotted,Large,High,Female,45,6
Daisy,Poodle,Golden,Small,Low,Female,12,6
Chloe,Australian Shepherd,White,Small,High,Male,16,3
Stella,Australian Shepherd,Spotted,Large,Medium,Male,8,4
Rocky,Doberman,Brown,Small,Medium,Female,19,3
Charlie,Pug,Black,Medium,Medium,Male,37,12
Buddy,Golden Retriever,Brown,Medium,High,Male,6,12
Bailey,Great Dane,Gray,Small,High,Female,7,15
Bailey,Great Dane,Gray,Large,Low,Female,38,1
Milo,German Shepherd,Brindle,Medium,Medium,Male,17,5
Maggie,Pug,Black,Medium,High,Female,29,2
Sadie,Shih Tzu,Cream,Large,Low,Female,15,6
Charlie,Rottweiler,Brindle,Large,Medium,Female,37,1
Lucy,Pug,Gray,Large,Low,Male,38,5
Leo,Beagle,Brindle,Medium,High,Female,43,9
Oliver,Border Collie,White,Small,Medium,Male,46,12
Bella,German Shepherd,Brindle,Large,High,Female,21,13
Sophie,Labrador Retriever,Black,Small,High,Male,50,9
Sadie,Siberian Husky,White,Small,Low,Male,31,11
Leo,French Bulldog,Brown,Large,Low,Female,25,11
Charlie,Poodle,Brown,Large,Low,Male,19,12
Buddy,Dachshund,Spotted,Large,High,Male,29,11
Buddy,Labrador Retriever,Golden,Large,High,Female,18,3
Jack,Poodle,White,Small,Medium,Female,21,13
Lucy,Golden Retriever,Brindle,Large,Medium,Female,49,12
Sophie,Dachshund,White,Medium,Low,Male,38,6
Jack,Great Dane,Black,Small,Medium,Male,15,2
Max,Golden Retriever,Brindle,Small,High,Female,9,8
Maggie,Border Collie,Golden,Large,Medium,Male,21,8
Oliver,Boxer,Gray,Large,Low,Male,6,5
Sadie,Golden Retriever,White,Large,Low,Male,37,3
Sadie,Beagle,Spotted,Medium,High,Male,47,10
Luna,Doberman,Brown,Medium,Low,Female,28,12
Cooper,Shih Tzu,Spotted,Medium,Low,Female,24,14
Jack,Yorkshire Terrier,Black,Medium,Low,Female,50,7
Rocky,French Bulldog,Black,Medium,Low,Female,37,15
Bailey,Siberian Husky,Spotted,Small,Low,Male,10,6
Toby,German Shepherd,White,Small,High,Male,45,2
Stella,Doberman,Golden,Small,Medium,Female,32,14
Stella,Corgi,White,Small,Low,Female,7,2
Leo,Border Collie,Gray,Medium,High,Female,32,11
Sophie,Yorkshire Terrier,Cream,Small,Medium,Male,6,15
Buddy,Great Dane,Brown,Medium,Low,Male,39,12
Chloe,Golden Retriever,Black,Large,Low,Male,15,14
Buddy,Doberman,Gray,Small,Medium,Male,42,14
Chloe,Shih Tzu,Black,Small,Medium,Female,47,9
Rocky,Bulldog,White,Medium,Medium,Male,19,9
Daisy,Golden Retriever,Cream,Small,High,Male,18,4
Charlie,Shih Tzu,White,Large,Low,Male,26,10
Toby,Bulldog,Gray,Small,High,Male,22,4
Sadie,German Shepherd,Golden,Small,Low,Male,42,9
Cooper,French Bulldog,Golden,Medium,Medium,Male,47,2
Charlie,Siberian Husky,Cream,Small,Low,Male,38,1
Max,Chihuahua,Golden,Medium,Low,Male,15,15
Bella,Doberman,Cream,Large,Low,Male,19,13
Milo,Bulldog,White,Large,Medium,Female,15,3
Rocky,Corgi,Spotted,Large,High,Male,49,13
Maggie,Beagle,White,Large,Medium,Male,24,4
Maggie,Yorkshire Terrier,White,Small,High,Female,21,1
Charlie,Australian Shepherd,White,Large,Low,Female,12,4
Chloe,Dachshund,Spotted,Medium,Medium,Male,9,14
Daisy,Poodle,White,Large,High,Male,49,11
Bailey,Rottweiler,White,Large,Medium,Female,45,4
Rocky,Siberian Husky,Golden,Small,Low,Female,16,12
Cooper,Doberman,Cream,Large,Medium,Male,46,9
Luna,Poodle,Brindle,Large,Low,Female,26,12
Luna,Shih Tzu,Spotted,Large,Medium,Male,39,4
Daisy,Australian Shepherd,Golden,Medium,High,Male,41,12
Cooper,Bulldog,Golden,Medium,High,Female,25,2
Lucy,Corgi,Cream,Medium,Low,Female,47,12
Rocky,Boxer,Black,Medium,High,Female,44,15
Maggie,Beagle,Cream,Large,Medium,Female,5,15
Rocky,Bulldog,Cream,Medium,Low,Male,42,5
Toby,Beagle,Spotted,Small,Low,Female,43,9
Daisy,Shih Tzu,Gray,Large,High,Female,40,1
Bailey,Labrador Retriever,Brindle,Medium,Low,Female,23,5
Luna,Rottweiler,Brown,Medium,Low,Female,11,15
Jack,Labrador Retriever,Spotted,Small,Low,Male,41,15
Charlie,German Shepherd,Gray,Large,High,Male,37,13
Oliver,Corgi,Cream,Small,Low,Male,21,5
Stella,Bulldog,Spotted,Large,Low,Female,39,15
Daisy,German Shepherd,Black,Medium,Low,Male,22,11
Jack,Corgi,White,Large,Medium,Female,18,6
Rocky,German Shepherd,Black,Large,Medium,Male,29,9
Leo,Bulldog,Gray,Medium,Medium,Female,41,9
Max,Poodle,Brindle,Medium,High,Female,28,1
Max,Shih Tzu,Golden,Large,Medium,Male,8,1
Jack,Border Collie,Golden,Medium,Medium,Male,19,10
Chloe,Labrador Retriever,Brindle,Small,Low,Female,19,1
Buddy,Shih Tzu,Brown,Large,High,Female,8,3
Lucy,Beagle,Gray,Large,Low,Male,23,1
Toby,Border Collie,Black,Medium,Medium,Male,50,3
Buddy,Dachshund,Brown,Medium,Medium,Female,34,14
Bailey,Labrador Retriever,Brown,Large,High,Male,9,8
Sophie,Siberian Husky,Brown,Medium,High,Male,50,11
Chloe,Australian Shepherd,Black,Medium,Medium,Female,16,14
Toby,Great Dane,Brindle,Small,Medium,Male,36,3
Daisy,Pug,White,Small,Medium,Female,9,9
Rocky,Border Collie,Gray,Large,High,Female,44,12
Milo,Border Collie,Spotted,Small,Low,Male,31,15
Milo,Chihuahua,Gray,Medium,High,Female,20,11
Daisy,Golden Retriever,Golden,Small,Medium,Female,14,3
Bella,Yorkshire Terrier,White,Medium,High,Female,42,6
Leo,Chihuahua,Spotted,Medium,Low,Female,15,14
Luna,Boxer,Spotted,Large,Low,Female,45,5
Charlie,Border Collie,Spotted,Small,Medium,Male,21,3
Toby,Poodle,Brindle,Large,Low,Male,36,11
Luna,Australian Shepherd,Cream,Large,Medium,Female,40,12
Jack,Yorkshire Terrier,White,Large,Medium,Female,19,15
Lucy,Corgi,Brindle,Medium,High,Male,38,9
Luna,Corgi,Spotted,Medium,Low,Male,44,9
Milo,Border Collie,Brindle,Small,Low,Male,13,6
Lucy,Golden Retriever,Golden,Medium,High,Female,43,1
Daisy,Bulldog,Spotted,Medium,Low,Female,34,1
Bella,Great Dane,White,Small,Low,Male,43,13
Milo,Golden Retriever,Black,Medium,Low,Male,16,9
Daisy,French Bulldog,Gray,Medium,High,Female,40,12
Maggie,Siberian Husky,White,Small,Medium,Male,9,12
Sophie,Dachshund,Brindle,Medium,Low,Female,33,8
Rocky,Siberian Husky,Cream,Large,Low,Female,30,15
Bella,Great Dane,Gray,Small,Medium,Female,41,6
Max,Border Collie,Golden,Medium,High,Female,15,4
Milo,Labrador Retriever,Cream,Small,High,Female,13,2
Toby,Corgi,Black,Large,Low,Female,14,12
Bella,Poodle,Cream,Small,Medium,Female,50,4
Buddy,Poodle,Spotted,Medium,Medium,Female,26,12
Buddy,Bulldog,Brown,Small,Medium,Female,45,2
Bella,Golden Retriever,Cream,Large,High,Female,32,11
Toby,Golden Retriever,Black,Small,Medium,Female,47,2
Bella,Labrador Retriever,Brown,Large,Medium,Female,47,6
Rocky,Boxer,Brown,Medium,Low,Male,44,1
Buddy,Rottweiler,Brown,Medium,High,Male,28,2
Charlie,Border Collie,White,Medium,High,Male,28,12
Maggie,Pug,White,Small,High,Male,19,4
Buddy,Pug,Black,Large,High,Male,32,10
Toby,Australian Shepherd,Golden,Small,High,Male,27,2
Cooper,Australian Shepherd,White,Small,High,Female,34,2
Charlie,Great Dane,Spotted,Small,Medium,Female,43,13
Stella,Golden Retriever,Black,Large,High,Female,14,9
Luna,Boxer,White,Small,Low,Male,9,9
Toby,Rottweiler,Cream,Large,Medium,Female,23,13
Milo,Beagle,Golden,Large,Medium,Female,12,2
Toby,Beagle,White,Large,Low,Male,27,14
Oliver,Chihuahua,Black,Small,Medium,Male,35,6
Chloe,Boxer,Cream,Large,Low,Female,23,3
Toby,Great Dane,Black,Large,High,Male,47,15
Daisy,French Bulldog,Brown,Small,Medium,Male,13,3
Sophie,Labrador Retriever,Gray,Large,Low,Female,48,15
Max,German Shepherd,Spotted,Small,Low,Male,6,15
Bailey,German Shepherd,Gray,Small,Medium,Male,49,1
Sadie,Rottweiler,Golden,Medium,High,Female,44,1
Rocky,French Bulldog,Spotted,Small,Low,Male,30,14
Charlie,Pug,Brindle,Medium,Medium,Female,33,4
Bella,Rottweiler,Brown,Large,Medium,Female,5,10
Oliver,Poodle,Golden,Small,Medium,Female,5,9
Lucy,Dachshund,White,Large,Low,Male,43,8
Rocky,Doberman,Golden,Large,Low,Female,39,13
Toby,Pug,Gray,Small,Medium,Female,17,14
Luna,Labrador Retriever,Gray,Large,Low,Male,23,14
Maggie,German Shepherd,Gray,Large,High,Female,45,8
Toby,Chihuahua,Cream,Large,Low,Male,39,15
Max,Australian Shepherd,Spotted,Large,Low,Female,42,9
Rocky,Shih Tzu,Cream,Large,Low,Male,24,1
Buddy,French Bulldog,Brown,Medium,Low,Male,50,10
Bella,Doberman,White,Large,Medium,Male,45,8
Jack,Corgi,Brown,Large,High,Female,47,13
Bella,Labrador Retriever,Spotted,Large,Low,Female,29,8
Sophie,German Shepherd,White,Large,Low,Male,23,12
Stella,Shih Tzu,White,Medium,High,Male,5,12
Luna,Siberian Husky,Golden,Medium,Medium,Male,19,13
Charlie,Siberian Husky,Gray,Small,High,Female,47,5
Sophie,Siberian Husky,Spotted,Medium,Medium,Male,38,13
Jack,Chihuahua,Brown,Small,High,Female,18,6
Leo,Australian Shepherd,Brindle,Large,Low,Male,41,11
Chloe,Beagle,Brindle,Small,Medium,Female,44,9
Oliver,Yorkshire Terrier,Cream,Large,High,Male,40,8
Luna,Golden Retriever,Gray,Large,High,Female,20,15
Lucy,Rottweiler,Gray,Large,Medium,Female,6,3
Toby,Border Collie,Gray,Medium,High,Female,38,15
Sophie,Poodle,White,Small,High,Male,21,7
Cooper,Labrador Retriever,Cream,Large,Low,Female,18,8
Bella,Bulldog,Gray,Medium,High,Male,16,4
Daisy,Labrador Retriever,White,Medium,High,Female,18,14
Sophie,Yorkshire Terrier,Brown,Large,Medium,Female,12,9
Sophie,German Shepherd,Gray,Small,High,Female,10,13
Charlie,Poodle,Brindle,Large,Low,Male,23,5
Chloe,Yorkshire Terrier,White,Small,Medium,Female,20,4
Bailey,Pug,White,Large,Low,Female,9,5
Stella,Border Collie,Cream,Large,Medium,Female,33,8
Bella,Chihuahua,Spotted,Medium,High,Male,25,13
Sophie,Labrador Retriever,White,Large,Low,Male,30,2
Milo,Beagle,Spotted,Small,Low,Female,43,7
Jack,Great Dane,Gray,Medium,Medium,Male,29,4
Cooper,Rottweiler,Spotted,Large,High,Female,32,2
Charlie,Boxer,Cream,Medium,Low,Female,20,7
Lucy,Golden Retriever,Gray,Small,Low,Female,44,10
Toby,Dachshund,Spotted,Medium,High,Male,44,1
Lucy,Bulldog,Brown,Small,High,Male,8,11
Cooper,Beagle,Black,Medium,Medium,Male,19,10
Sophie,Pug,Brown,Large,Low,Female,18,14
Milo,Poodle,Brindle,Large,Low,Male,32,12
Leo,Golden Retriever,Spotted,Small,High,Male,33,9
Luna,Golden Retriever,Spotted,Small,High,Male,10,1
Chloe,Rottweiler,Brown,Medium,Medium,Male,24,15
Cooper,Boxer,Cream,Large,High,Female,48,2
Chloe,German Shepherd,Cream,Medium,Low,Male,5,1
Rocky,German Shepherd,Cream,Large,Low,Female,14,4
Lucy,Border Collie,Cream,Medium,Low,Female,23,10
Leo,Labrador Retriever,Golden,Medium,High,Male,34,15
Max,Bulldog,Spotted,Large,Medium,Female,10,3
Cooper,French Bulldog,Golden,Large,Medium,Male,22,11
Rocky,Australian Shepherd,Cream,Large,High,Female,42,2
Daisy,Doberman,Golden,Medium,Low,Female,26,5
Buddy,Rottweiler,White,Large,Low,Male,36,6
Lucy,Yorkshire Terrier,Golden,Medium,Medium,Female,14,13
Sadie,Great Dane,Brindle,Large,Medium,Female,27,1
Leo,Labrador Retriever,Brindle,Small,Low,Male,5,9
Rocky,German Shepherd,Brown,Large,High,Female,18,1
Daisy,Boxer,White,Medium,Medium,Female,28,5
Rocky,Labrador Retriever,Brown,Small,High,Male,7,10
Toby,Beagle,Brindle,Small,Medium,Female,30,10
Leo,Rottweiler,Brindle,Medium,Low,Female,32,1
Stella,Dachshund,Brown,Small,High,Female,13,1
Leo,Australian Shepherd,Brindle,Small,Low,Male,9,15
Luna,Great Dane,Cream,Medium,High,Male,33,5
Oliver,Dachshund,Gray,Large,Medium,Male,22,12
Jack,Shih Tzu,Golden,Small,Low,Female,26,7
Luna,Golden Retriever,Cream,Medium,High,Male,49,2
Milo,Golden Retriever,Gray,Large,Medium,Male,49,13
Cooper,Poodle,Spotted,Medium,Medium,Male,40,7
Cooper,Siberian Husky,White,Medium,Low,Female,41,15
Sophie,Australian Shepherd,Spotted,Large,Low,Male,9,15
Bella,Boxer,Cream,Medium,Medium,Male,25,8
Lucy,Pug,Gray,Large,High,Female,47,13
Leo,Pug,Spotted,Medium,High,Female,50,12
Chloe,Dachshund,Golden,Small,Low,Female,11,3
Leo,Chihuahua,White,Medium,Medium,Female,6,13
Luna,Bulldog,White,Medium,High,Male,44,5
Leo,German Shepherd,Brown,Small,Medium,Female,44,14
Stella,Yorkshire Terrier,Cream,Large,High,Male,38,15
Chloe,German Shepherd,Golden,Large,Low,Female,29,5
Buddy,German Shepherd,Brindle,Medium,Medium,Male,34,1
Maggie,Siberian Husky,Golden,Small,Low,Female,23,2
Jack,Golden Retriever,White,Small,Low,Male,23,3
Maggie,Bulldog,Brindle,Small,High,Male,26,8
Oliver,Poodle,Brown,Small,Medium,Male,32,5
Luna,Golden Retriever,Golden,Large,High,Male,21,9
Toby,Chihuahua,Golden,Large,High,Female,43,6
Oliver,Labrador Retriever,Gray,Large,Low,Female,46,6
Bailey,Siberian Husky,Black,Small,Medium,Female,21,4
Cooper,Bulldog,Golden,Medium,Low,Female,8,8
Bailey,Chihuahua,Gray,Small,Low,Male,6,15
Stella,Dachshund,Gray,Small,Low,Female,23,15
Max,Corgi,Spotted,Large,Medium,Male,42,4
Max,Australian Shepherd,Brindle,Small,Medium,Male,7,1
Luna,Rottweiler,Brindle,Small,High,Female,11,5
Cooper,Yorkshire Terrier,Spotted,Medium,High,Male,19,12
Daisy,Shih Tzu,Brown,Large,Medium,Male,22,4
Bailey,Dachshund,Cream,Large,Medium,Male,40,8
Cooper,Border Collie,Gray,Medium,Low,Female,18,6
Oliver,Doberman,Golden,Medium,Low,Male,28,12
Oliver,Siberian Husky,Golden,Medium,High,Male,38,15
Milo,Poodle,Brindle,Large,Medium,Female,8,9
Buddy,Bulldog,Spotted,Large,Medium,Female,42,5
Bailey,Boxer,Gray,Small,Low,Male,22,1
Buddy,Siberian Husky,Spotted,Medium,High,Male,37,3
Sophie,Corgi,Gray,Large,Low,Male,26,6
Cooper,French Bulldog,Black,Small,Low,Female,42,13
Rocky,Border Collie,Cream,Large,Low,Female,32,3
Jack,French Bulldog,Gray,Small,Medium,Female,33,2
Charlie,Corgi,Golden,Medium,Medium,Female,16,6
Bailey,French Bulldog,Brindle,Small,High,Male,16,1
Bella,Bulldog,White,Large,Medium,Female,37,4
Chloe,Boxer,White,Small,Medium,Male,28,1
Sadie,Yorkshire Terrier,Spotted,Medium,Medium,Female,32,1
Lucy,Bulldog,Black,Large,High,Female,37,2
Milo,Poodle,Gray,Medium,Medium,Male,9,10
Daisy,Corgi,Brindle,Small,High,Male,5,10
Jack,Australian Shepherd,Spotted,Large,High,Male,47,5
Buddy,French Bulldog,Black,Small,Medium,Male,20,11
Leo,Great Dane,Black,Medium,Low,Female,50,5
Milo,Doberman,Black,Small,Medium,Male,16,7
Charlie,Border Collie,Brindle,Small,High,Male,18,12
Bailey,Bulldog,Spotted,Small,Medium,Female,36,1
Milo,Chihuahua,Black,Large,Low,Male,41,15
Max,German Shepherd,Black,Medium,High,Male,32,10
Rocky,Yorkshire Terrier,White,Medium,Medium,Male,8,9
Daisy,Chihuahua,Gray,Large,Medium,Male,30,9
Max,Chihuahua,Cream,Medium,High,Male,18,15
Jack,French Bulldog,Brown,Large,High,Male,19,14
Luna,Poodle,Brown,Medium,Low,Male,34,2
Lucy,Labrador Retriever,Spotted,Large,Low,Male,28,6
Maggie,Doberman,White,Large,Medium,Male,33,15
Jack,Doberman,Spotted,Large,Low,Male,28,14
Leo,Great Dane,Cream,Medium,High,Male,14,15
Stella,Bulldog,Gray,Medium,Medium,Male,32,11
Stella,Corgi,Spotted,Large,High,Male,33,3
